Person_ID,Age,Gender,Sleep Start Time,Sleep End Time,Total Sleep Hours,Exercise (mins/day),Caffeine Intake (mg),Screen Time Before Bed (mins),Work Hours (hrs/day),Productivity Score,Mood Score,Stress Level,Sleep Quality
5468,25,Female,23.58,6.4,6.82,59,177,27,4.621877096,9,4,6,10
6320,50,Male,23.2,7.12,7.92,5,81,114,9.805756067,9,2,10,3
9989,22,Other,23.53,7.92,8.39,48,266,84,9.9966264,9,6,1,2
8266,18,Male,23.9,8.72,8.82,68,132,101,11.30532602,7,5,5,1
5809,27,Other,20.33,3.09,6.75,50,172,3,5.829142444,1,8,2,1
8239,56,Female,21.55,4.43,6.88,49,267,53,11.74379012,9,1,7,3
2252,38,Female,21.17,2.73,5.56,63,251,37,8.864702796,2,3,2,6
5261,50,Other,23.48,7.09,7.61,80,132,28,5.176587847,8,1,10,3
4579,37,Male,21.08,4.05,6.96,22,182,79,5.215221548,6,8,4,3
9472,20,Other,22.47,7.83,9.37,50,276,4,6.760661023,10,6,5,10
7376,29,Female,21.55,2.69,5.14,44,72,25,10.39528319,9,6,8,10
3878,34,Female,23,3.92,4.92,51,206,46,6.963776822,6,10,7,3
1364,43,Female,22.92,4.08,5.17,22,237,106,8.256907882,2,10,6,3
2906,32,Male,22.6,4.01,5.41,56,272,85,6.619978817,9,1,4,7
8561,20,Male,20.28,1.22,4.93,33,110,7,8.692283477,3,10,9,6
3739,43,Female,22.92,5.91,6.99,32,149,20,5.222873113,7,4,8,6
9434,48,Male,23.38,4.44,5.06,83,219,74,10.92405701,6,6,1,2
3551,55,Other,21.93,6.03,8.09,25,172,43,5.640620481,10,6,4,8
9915,50,Male,23.77,7.8,8.04,36,138,99,6.565137537,3,1,6,6
1009,22,Other,21.72,3.23,5.51,1,83,64,5.110598188,9,1,9,8
4490,47,Other,20.07,4.72,8.65,77,136,161,5.449864529,3,1,8,2
6951,46,Other,20.6,2.11,5.51,84,164,4,5.885533969,10,4,9,3
2065,42,Female,23.12,5.81,6.7,37,22,62,8.021763121,9,1,1,3
4687,57,Other,22.83,5.49,6.66,6,178,41,5.114176581,1,4,7,3
2120,54,Other,22.53,3.2,4.67,65,9,4,11.01412509,1,6,6,6
7371,41,Other,20.12,1.37,5.25,75,172,129,4.097624579,3,3,4,4
1793,44,Male,23.17,8.46,9.3,37,133,22,7.696046429,10,8,2,8
1827,29,Male,23.6,7.64,8.04,30,50,28,4.833975728,9,6,7,10
6732,38,Female,21.58,2.71,5.12,0,54,114,8.730203486,5,9,5,9
9393,43,Male,22.85,6.04,7.19,1,209,161,11.3476378,3,6,8,6
2990,23,Male,23.53,5.85,6.31,25,155,113,9.308298976,7,1,4,6
1688,37,Female,21.45,4.63,7.18,48,256,140,7.178544924,3,8,3,8
3079,47,Male,20.73,3.12,6.39,18,17,0,10.20422093,2,2,6,8
6797,21,Male,23.47,4.34,4.88,31,265,109,8.212627733,1,7,7,3
4462,46,Male,20.9,2.67,5.77,58,254,71,4.832868656,5,3,3,7
4675,25,Female,22.52,7.96,9.44,45,164,141,6.345181842,2,7,10,8
3198,38,Other,23.3,6.72,7.42,1,196,147,6.686926857,2,3,7,2
5491,37,Male,20.62,4.99,8.37,52,279,80,10.94774381,8,7,1,9
3573,26,Female,20.4,2.19,5.79,21,234,3,5.058209689,2,7,5,6
7981,35,Male,21.58,4.57,6.99,16,164,152,7.979719152,7,5,10,2
3074,48,Female,22.65,4.4,5.75,52,172,144,7.350164199,10,2,6,9
3866,53,Other,21.47,3.91,6.45,10,163,112,9.772262889,8,3,6,8
5150,41,Female,21.07,3.99,6.92,35,238,147,5.296111023,4,1,2,10
1153,19,Male,20.13,2.39,6.26,88,60,170,8.786288466,9,7,3,1
2252,47,Female,21.18,3.49,6.3,60,16,73,9.52448186,1,8,3,1
3708,34,Other,20.88,4.57,7.69,24,88,11,5.769675535,10,9,10,8
5873,33,Other,20.37,3.65,7.28,6,269,78,9.579362138,9,3,8,6
2500,35,Other,21.85,6.57,8.72,58,102,16,9.201338804,8,3,2,2
3983,43,Other,22.72,6.08,7.36,3,209,160,11.08782199,10,2,7,8
4241,51,Female,22.9,4.33,5.43,31,95,122,11.98347288,4,1,5,2
1271,27,Female,20.63,3.75,7.11,48,2,172,6.836977261,2,4,2,1
8832,18,Male,21.23,3.87,6.64,87,139,36,10.29076012,6,7,8,1
9202,30,Female,20.1,5.56,9.46,19,62,53,8.861894359,10,2,9,8
1936,20,Female,20.07,3.72,7.65,48,8,98,8.778192579,1,10,3,7
8312,41,Other,23.57,5.19,5.62,88,67,141,10.88101453,9,8,3,8
2218,42,Female,23.68,8.23,8.55,24,260,138,4.695894079,8,6,8,8
4972,43,Female,21.6,3.2,5.6,76,80,113,7.961172216,3,10,3,5
7183,44,Male,20.53,5.43,8.89,79,167,91,10.80465383,9,9,5,3
5286,44,Female,23.1,8.01,8.91,30,22,169,5.03095894,5,7,2,10
9780,46,Other,21.52,2.44,4.92,16,222,97,9.072045625,8,3,6,1
6352,49,Female,22.45,6.11,7.66,21,195,147,9.503085778,2,4,1,5
9073,18,Female,21.92,2.65,4.73,13,191,174,11.75102284,4,3,4,2
9220,28,Male,21.77,4.71,6.94,74,57,25,5.271506266,2,4,1,3
7540,58,Other,22.9,7.53,8.63,31,129,174,9.443994417,6,3,1,4
1988,38,Other,23.6,7.29,7.69,18,256,57,11.15279363,2,3,1,6
1791,29,Female,22.72,5.58,6.87,59,144,92,10.21277482,2,4,7,8
1959,41,Female,22.32,6.8,8.48,77,272,125,9.484522298,4,9,6,9
6109,19,Other,23.2,4.45,5.25,17,94,165,6.33330063,9,1,6,5
1213,41,Male,20.18,5.62,9.43,85,91,147,6.768132541,8,2,1,6
7368,50,Male,20.48,1.15,4.67,25,102,165,8.540326786,10,2,2,4
9619,57,Other,20.03,5.01,8.98,5,72,102,8.903553399,9,2,8,9
4389,37,Female,22.97,5.89,6.92,79,21,153,7.847230652,9,10,2,4
2560,36,Other,21.58,5.8,8.22,52,182,31,7.985565732,2,6,2,7
1661,54,Male,22.03,2.94,4.91,34,92,96,10.72361925,1,5,10,3
9595,54,Female,23.98,4.68,4.7,50,95,104,7.508923354,5,2,4,1
2394,29,Other,20.28,3.94,7.66,25,7,99,11.27226017,7,10,2,1
5648,31,Other,20.32,3.78,7.46,16,27,65,10.86389003,5,1,8,6
8062,48,Other,21.03,3.74,6.71,9,256,132,5.989714181,1,9,6,10
4192,54,Other,20.18,3.06,6.87,43,155,110,10.94617024,4,2,2,1
1281,46,Male,22.57,5.33,6.76,58,160,178,4.332582872,10,4,5,5
2239,51,Male,21.47,6.31,8.84,42,177,150,9.33491406,4,7,4,8
2969,59,Other,23.82,5.26,5.44,7,156,95,5.876490347,6,2,1,7
6238,43,Other,21.48,4.47,6.99,25,135,46,8.564877973,8,9,4,1
4072,36,Other,23.22,5.69,6.47,89,219,62,11.81739347,9,9,9,5
4230,58,Other,23.55,6.07,6.52,18,81,140,10.38250919,3,1,8,4
1454,42,Male,22,4.33,6.33,14,92,160,5.900353047,1,3,6,7
8010,25,Female,21.15,5.45,8.3,2,84,25,11.61182848,2,6,5,9
2177,42,Male,21.78,5.18,7.4,14,42,175,8.395313907,2,5,7,4
5431,32,Male,23.17,5.57,6.4,20,140,18,4.811366628,4,5,4,4
7894,45,Other,23.25,4.2,4.95,1,76,131,10.58539212,7,10,7,2
4654,59,Male,21.92,7.23,9.31,6,171,119,8.211993553,7,6,6,4
7869,45,Male,21.13,4.87,7.73,41,71,151,6.827371034,10,5,4,8
7807,36,Other,21.4,2.38,4.98,73,241,68,5.344113662,3,2,1,4
9853,54,Other,22.45,3.98,5.53,72,77,76,8.755810681,9,2,3,10
7780,56,Male,20.17,5.62,9.46,67,217,101,8.627095336,7,4,8,3
8843,20,Male,23.53,5.17,5.63,67,268,48,10.65490491,5,5,8,9
2735,20,Female,23.95,6.12,6.17,1,214,171,9.294713519,1,3,2,6
5211,25,Female,23.95,9.24,9.29,54,207,105,4.773411597,9,7,1,9
8123,20,Female,20.37,2.86,6.5,4,247,107,5.949253729,5,4,6,8
5895,50,Male,23.18,7.59,8.41,13,291,150,6.104900559,2,9,5,2
3496,28,Other,23.37,8.58,9.21,54,261,162,10.29020765,6,5,4,2
1560,59,Female,21.73,4.14,6.4,29,133,66,10.32024349,4,9,5,8
7721,44,Female,22.28,7.57,9.29,9,24,24,7.834835521,1,4,1,2
5917,20,Other,20.08,1.32,5.23,7,24,78,11.70492089,4,2,6,5
2884,19,Other,22.5,3.31,4.81,33,265,88,4.465310364,2,8,9,3
6448,45,Female,21.83,3.22,5.39,3,259,102,5.831156839,5,7,4,1
1419,55,Other,21.6,6.53,8.93,6,154,91,7.853078772,7,5,6,3
5481,44,Male,21.62,3.42,5.8,86,64,12,4.096966197,2,5,5,10
5268,49,Male,22.8,6.04,7.24,51,255,116,7.905929096,4,2,4,5
1593,57,Other,20.47,2.94,6.47,41,20,41,11.13667751,9,1,8,6
1571,46,Male,21.82,2.51,4.69,20,283,33,7.090791279,6,8,1,8
9080,40,Male,22.07,6.25,8.19,86,100,7,4.333383205,9,7,1,1
9599,52,Male,20.32,4.5,8.19,30,227,138,11.76599966,3,7,3,10
9754,22,Male,21.88,6.21,8.32,37,110,111,11.74288028,8,8,9,10
4009,32,Female,22.8,4.58,5.78,77,104,168,11.67861214,7,2,10,4
4747,29,Other,23.02,6.53,7.51,31,287,31,9.251828859,10,1,8,5
6784,57,Other,21.98,4.43,6.44,21,212,171,5.579763919,1,8,5,2
6341,56,Male,23.67,6.89,7.22,12,148,125,10.73598842,8,7,7,5
9789,39,Other,20.35,3.55,7.2,1,28,179,10.54228264,3,7,8,2
9652,39,Other,20.53,3.58,7.04,18,22,156,4.750055365,9,5,8,6
8353,33,Male,23.07,7.97,8.91,63,9,148,9.864570368,7,2,9,4
6132,26,Female,21.42,6.12,8.7,77,13,120,11.66458784,9,4,3,1
6110,23,Other,20.95,3.29,6.34,19,23,153,7.132205585,5,6,8,4
6891,37,Male,22.1,5,6.9,87,228,79,5.803510044,4,4,8,3
1161,47,Female,22.5,3.11,4.61,48,210,149,9.563325187,10,6,5,3
9623,53,Female,22.8,5.47,6.67,62,115,112,8.785802353,9,6,1,2
2283,37,Other,22.23,4.78,6.55,8,89,143,5.623490941,4,10,2,7
6068,47,Female,21.73,5.72,7.99,18,34,45,5.804330639,5,5,4,3
9895,22,Female,21.05,1.8,4.75,34,128,23,9.836065829,6,9,6,7
8531,48,Male,23.33,4.18,4.84,29,219,134,5.975830393,8,10,6,10
8896,30,Female,23.13,6.07,6.94,83,249,106,5.113962969,4,2,1,8
1671,28,Other,23.1,5.57,6.47,13,164,57,11.83640672,5,3,7,10
9100,41,Male,22.83,8.19,9.36,60,160,177,9.760064317,10,9,7,9
4062,50,Male,23.55,6.07,6.52,38,85,176,8.348305739,6,6,2,9
2537,39,Male,21.15,3.96,6.81,38,85,75,4.498184847,8,6,10,3
2727,49,Other,20.32,3.54,7.22,85,142,119,5.010030262,6,4,9,4
3105,45,Female,20.02,0.84,4.83,71,43,96,7.125826925,3,6,7,3
7744,36,Male,22.17,3.69,5.52,7,296,163,6.211533525,8,7,9,10
9078,57,Female,21.98,5.96,7.98,6,258,26,6.215235899,8,6,1,2
4200,25,Male,23.98,8.59,8.6,3,245,18,11.05933095,7,1,7,5
1669,30,Female,23.45,8.36,8.91,26,24,130,8.219196977,9,4,2,7
7788,52,Male,23.47,5.45,5.98,49,133,59,6.514800905,2,9,5,6
1587,45,Female,21.78,5.84,8.06,89,189,160,5.918992902,4,2,9,8
6433,28,Male,22.78,6.17,7.39,68,107,138,10.74989861,3,1,4,1
7049,19,Other,23.92,4.76,4.85,69,200,147,5.817436456,8,7,7,7
7659,42,Other,21.23,2.8,5.56,56,116,45,10.07398986,4,1,7,3
2787,30,Other,21.83,6.87,9.04,58,90,97,7.57644435,6,4,5,7
6661,31,Other,23.8,4.51,4.71,13,153,101,6.240298636,9,3,3,8
8880,45,Male,22.22,6.35,8.13,18,119,165,4.961977812,4,8,1,7
1264,50,Male,21.17,2.04,4.87,58,221,40,4.385142688,4,8,2,9
8804,39,Male,23.9,7.06,7.16,47,157,11,8.662454681,2,5,5,1
8851,50,Male,20.13,5.18,9.05,34,215,64,4.201135666,7,8,6,4
7317,32,Male,22.42,3.74,5.32,20,37,19,10.31041811,3,4,7,6
1771,39,Male,22.35,4.16,5.81,33,256,71,9.072832251,6,6,9,8
7716,29,Female,21.43,2.63,5.2,64,92,108,7.856328465,8,3,4,10
6808,30,Male,21.8,2.34,4.54,42,89,38,10.42068544,1,10,6,8
2800,41,Male,20.67,5.26,8.59,50,58,166,8.598236434,7,3,1,5
9210,29,Male,20.73,4.27,7.54,44,89,102,11.63226502,5,8,9,1
9365,40,Female,20.77,1.56,4.8,81,145,67,7.070711064,4,2,5,4
2774,45,Male,20.18,1.08,4.9,38,257,28,9.429359653,2,3,10,9
5658,26,Male,22.45,3.81,5.36,26,116,1,8.239932183,3,8,2,6
5008,29,Other,22,2.92,4.92,84,61,48,5.72841092,9,7,8,10
2819,38,Female,22.28,4.8,6.52,72,121,29,7.571356131,2,3,3,7
4243,32,Male,22.37,4.46,6.09,56,117,99,7.143793803,8,7,2,10
1006,21,Male,23,5.23,6.23,18,156,145,9.09521854,1,1,6,4
7468,25,Female,23.85,7.25,7.4,64,30,131,5.338877865,2,5,8,6
1442,20,Other,20.05,1.05,5,63,233,50,4.186816771,5,10,5,6
3172,54,Female,23.6,6.47,6.87,67,273,112,4.70561363,4,1,6,6
4236,58,Male,20.55,1.89,5.34,86,41,97,6.074679179,3,10,1,5
1382,38,Other,22.05,4.29,6.24,12,110,97,7.911182654,3,1,3,8
9017,57,Female,20.38,3.99,7.6,84,7,27,10.82046226,5,4,6,5
7207,44,Male,21.17,3.43,6.27,20,245,138,8.394579835,5,1,8,6
2960,29,Female,20.83,3.65,6.81,69,182,101,8.179553163,8,7,9,4
4536,31,Other,21.45,6.09,8.64,6,162,47,11.9689836,8,4,1,4
4935,25,Other,22.62,4.4,5.78,12,188,30,9.872238101,2,6,6,5
4906,27,Female,23.33,5.63,6.29,40,151,34,5.685639711,9,3,3,2
3841,57,Other,21.1,1.82,4.72,24,36,0,4.552236327,8,8,5,4
8295,26,Other,20.58,4.58,8,22,264,33,4.621194677,4,6,3,8
8938,31,Male,20.52,1.38,4.86,15,65,167,4.903453141,2,10,6,3
7465,19,Female,20.92,2.89,5.98,38,214,119,7.240821556,6,7,5,2
3368,34,Male,21.87,2.54,4.67,52,274,56,10.07689143,1,7,7,3
6565,27,Female,23.12,6.39,7.27,31,13,177,9.71162106,4,5,8,4
7846,21,Male,22.37,6.47,8.1,30,289,81,10.59022472,9,1,9,7
8161,46,Female,21.52,4.98,7.47,86,87,49,7.735744,6,5,9,1
6276,45,Other,20,1.15,5.15,26,161,171,8.574473309,2,3,3,9
9389,29,Other,20.27,4.2,7.94,28,216,119,9.406781972,7,5,5,10
4607,28,Male,23.77,8.99,9.22,20,210,139,11.99572999,1,5,6,9
3587,58,Other,22.78,4.33,5.54,70,12,140,7.326380005,2,9,9,3
4893,39,Male,23.73,8,8.27,8,215,7,9.213118084,2,3,6,2
1539,57,Female,21,5.95,8.95,12,48,117,10.25612268,5,5,10,3
4748,55,Female,21.27,2.39,5.12,34,110,101,8.247501427,6,4,8,10
9931,43,Female,20.32,3.09,6.77,57,282,169,10.16126569,9,2,5,1
5063,49,Male,20.53,4.73,8.2,56,125,11,4.010829006,5,4,7,7
5402,26,Other,23.53,7.06,7.53,71,44,58,6.423325831,3,9,2,8
4276,32,Other,23.42,6.83,7.41,8,118,132,8.245898842,4,2,6,8
6690,43,Other,21.93,5.55,7.61,44,266,103,11.25136771,1,1,4,10
1215,48,Male,21.82,5.77,7.95,4,83,51,5.842007366,8,6,1,2
3783,38,Female,20.08,1.96,5.87,61,209,77,8.372617136,3,6,8,6
9811,50,Male,23.17,7.63,8.47,40,271,67,11.61143848,8,10,9,6
6258,54,Male,21.3,2.68,5.38,81,153,133,5.520861198,3,2,1,6
9436,33,Female,21.9,4.36,6.46,7,93,64,7.665877203,1,4,8,10
6973,46,Female,23.13,7.81,8.68,27,254,170,4.368453874,10,8,2,4
6722,39,Male,22.93,5.45,6.51,8,247,154,11.63877594,1,9,7,10
3451,47,Other,22.8,5.52,6.72,77,16,17,11.93953831,4,5,2,10
4008,18,Female,21.73,7.11,9.37,9,202,40,4.311439707,10,1,1,7
2772,58,Male,23.07,7.16,8.1,50,148,98,6.610707447,3,3,7,8
7297,57,Male,20.22,4.62,8.4,83,241,115,5.635687088,8,9,3,10
1614,45,Female,20.43,1.28,4.85,36,194,110,10.48702865,8,4,2,3
4075,20,Female,20.8,4,7.2,22,68,94,5.02293441,9,9,9,8
6445,54,Male,21.65,3.28,5.63,84,211,2,11.06187505,6,4,6,6
4240,22,Male,22.95,4.96,6.01,24,111,154,6.171508621,9,6,4,5
6141,38,Female,20.12,3.92,7.81,30,201,31,5.338570432,9,1,10,7
3832,21,Other,20.97,5.26,8.3,64,190,50,6.954246162,9,8,2,6
4854,49,Other,22.08,7.19,9.1,38,125,56,6.192572715,9,9,6,7
2363,20,Male,22.8,6.94,8.14,63,64,80,7.044141679,4,4,2,7
9234,52,Female,21.53,6.88,9.35,3,215,58,8.008703042,6,9,1,7
3240,22,Other,23.08,4.18,5.09,18,203,79,5.053720229,10,9,4,3
1451,40,Female,23.35,7.21,7.86,71,6,118,8.573967865,7,3,3,5
5595,33,Male,20.18,2.12,5.94,26,139,144,11.47995545,5,9,5,5
1887,50,Female,21.78,3.95,6.17,68,46,166,11.55558866,4,6,7,6
7358,36,Female,20.92,6.37,9.45,81,201,104,11.84294993,10,10,1,8
1517,22,Female,20.07,1.52,5.45,40,218,176,7.180899028,3,10,2,4
9399,19,Female,21.35,2.57,5.22,38,218,156,11.40417766,4,9,6,7
4554,19,Female,20.55,4.57,8.02,78,282,9,7.6054918,6,9,4,6
3555,19,Male,23,4.09,5.09,9,78,58,9.892281827,5,8,6,9
9801,47,Male,20.45,4.09,7.64,6,136,163,11.51721209,10,4,9,4
3093,59,Female,23.62,4.63,5.01,26,53,177,4.741003864,5,9,4,2
3426,26,Other,21.3,4.75,7.45,42,40,169,9.606941087,8,7,1,1
9342,49,Other,23.53,5.11,5.57,42,289,39,6.838886646,2,3,10,5
5426,33,Female,21.78,3.95,6.17,37,126,18,7.948007937,8,3,10,2
2014,44,Female,23.83,8.19,8.35,72,106,88,6.668854312,1,6,5,1
2873,38,Female,20.95,2.69,5.74,39,113,106,11.49024497,2,2,6,6
8352,30,Female,23.1,3.88,4.78,87,206,128,10.11552582,6,2,9,6
6103,46,Male,20.15,5.36,9.21,70,108,46,9.481074479,3,4,5,2
1195,29,Other,23.68,6.86,7.18,60,51,87,10.31434279,7,7,5,5
7121,59,Female,22.25,7.13,8.88,60,136,5,8.426969518,3,7,6,5
1086,34,Other,23.03,5.61,6.57,72,284,164,7.288748871,4,7,1,6
4687,38,Female,20.08,4.53,8.45,32,208,125,5.325985416,10,3,10,6
9306,53,Female,20.68,4.22,7.54,46,245,126,5.873626967,8,8,9,7
4360,50,Other,22.15,4.71,6.56,64,140,128,9.05135137,1,5,7,10
5951,43,Male,22.2,4.66,6.46,66,6,57,8.062440512,5,1,1,1
7314,42,Other,20.03,3.34,7.3,31,281,123,11.05250764,6,9,8,5
4904,46,Male,21.25,2.77,5.52,70,205,156,5.467537571,2,9,3,3
4764,47,Male,23.28,8.29,9.01,7,21,5,7.115239512,9,8,4,2
9923,35,Female,20.73,6.18,9.45,63,220,122,4.342700441,3,3,3,4
9397,57,Other,22.05,4.87,6.82,74,121,106,11.43430722,2,1,9,4
1670,51,Male,23.23,3.98,4.74,7,200,57,10.25567982,7,10,4,4
6330,46,Other,22.45,3.92,5.47,28,214,130,7.465304891,10,4,10,6
4645,59,Female,20.2,4.26,8.06,58,39,129,7.398806743,10,1,10,8
7539,43,Other,21.52,4.17,6.66,66,165,60,6.596094401,5,10,4,6
4046,32,Other,23.52,7.82,8.3,87,203,160,7.458769811,1,5,6,6
5500,49,Other,22.07,5.72,7.65,47,216,55,5.608521216,8,8,7,2
5172,55,Female,21.12,2.86,5.75,37,175,26,11.9911409,10,3,3,6
7396,30,Male,22.85,7.81,8.96,53,290,85,4.115051569,8,2,1,5
7047,32,Other,21.57,6.76,9.19,84,124,137,7.124748861,4,3,2,5
1572,42,Other,22.38,4.78,6.4,54,27,58,7.754281819,5,2,4,2
6232,59,Female,20.22,0.98,4.77,26,54,119,11.53353589,5,5,7,2
3904,58,Female,21.35,2.63,5.28,3,192,142,5.633332473,6,6,2,7
5749,37,Female,23.53,7.08,7.55,19,221,165,8.287480631,8,10,2,8
3789,19,Female,21.17,4.63,7.46,42,149,147,4.253950123,8,10,1,8
3387,33,Female,21.7,3.26,5.56,47,154,87,11.07666634,9,3,3,8
2257,34,Other,22.9,6.49,7.59,19,230,52,11.80274507,1,1,10,5
7034,28,Female,21.1,2.65,5.55,19,49,101,11.53906763,4,5,4,2
9775,57,Other,23.17,5.3,6.13,55,59,137,6.051704488,1,4,4,8
6457,55,Other,23.92,4.83,4.91,30,10,45,10.43043912,5,6,10,2
7381,41,Other,23.78,5.15,5.37,16,64,56,9.721491638,5,8,2,7
6208,35,Other,23.65,7.47,7.82,14,166,12,11.91560905,9,8,4,10
8124,35,Male,23.13,6.1,6.96,82,248,47,7.254438408,7,7,4,6
3535,30,Male,20.8,2.18,5.38,76,187,89,10.95684866,6,4,7,3
2695,55,Other,21.92,3.34,5.43,27,130,149,8.83080786,6,8,7,3
5482,29,Male,22.5,5.87,7.37,61,126,168,6.021168245,5,10,4,5
3985,37,Male,20.88,2.71,5.83,14,272,151,7.889043882,2,7,8,1
1314,43,Other,22.2,5.04,6.84,27,188,15,8.922029226,6,2,1,1
1870,30,Female,20.75,5.39,8.64,20,111,54,9.172803552,3,4,9,5
3761,48,Male,22.85,4.74,5.89,51,136,110,5.285436678,3,2,9,9
2806,29,Male,20.22,5.29,9.07,71,154,11,7.038012183,8,10,3,8
8850,48,Male,20.52,3.8,7.28,84,55,133,6.927086476,6,5,3,5
6831,58,Male,22.83,5.06,6.23,20,114,62,4.331993337,7,1,6,1
2051,19,Female,22.6,7.52,8.92,85,217,176,6.252928337,10,4,10,4
4176,53,Other,23.75,8.22,8.47,55,283,128,4.711917719,8,1,8,3
7513,21,Female,23.43,4.4,4.96,75,286,118,11.74461105,9,2,3,8
7653,59,Male,21.32,5.59,8.27,82,151,4,4.918375418,1,3,9,10
7305,40,Other,21.32,5.6,8.29,86,175,111,6.17306545,9,2,3,4
6552,39,Male,21.53,2.62,5.08,51,24,20,8.668840296,10,5,6,10
8279,40,Other,21.33,5.94,8.6,22,191,39,7.196150277,9,4,1,6
7646,28,Male,23.07,4.06,4.99,54,36,55,4.737343668,6,5,9,5
8616,57,Other,21.17,4.33,7.16,89,204,122,9.985286611,6,10,9,7
4806,38,Other,21.9,2.98,5.08,75,277,39,11.91545413,1,1,9,9
7837,59,Male,22.27,3.15,4.88,79,7,174,4.41428711,6,10,1,3
5591,31,Male,21.57,3.17,5.61,60,142,53,10.09506889,1,5,8,8
8984,40,Male,21.42,6.6,9.19,19,197,58,9.251276828,2,4,1,10
5621,31,Male,22.72,3.8,5.08,62,238,162,4.614424387,3,4,4,3
9095,57,Male,20.27,5.26,9,64,287,163,7.305380138,10,5,4,2
9378,33,Female,23.73,5.33,5.6,30,258,135,8.019418297,9,7,2,2
7726,56,Female,20.93,2.86,5.93,17,196,116,7.427663231,2,7,5,10
9069,21,Male,22.08,3.84,5.76,14,95,5,6.60168957,3,10,1,2
6054,21,Male,20.3,2.53,6.23,69,290,21,5.059236908,6,7,10,6
8483,29,Other,21.53,4.19,6.65,72,278,82,11.09695454,5,4,7,9
3971,51,Male,23.78,6.49,6.71,77,93,118,10.43970984,9,3,4,10
8905,27,Other,22.17,6.82,8.65,44,208,125,10.94727619,9,10,2,6
6450,33,Male,22.28,7.07,8.79,15,261,107,6.509652096,10,4,7,10
7785,43,Other,22.43,5.76,7.33,6,190,110,8.10546467,8,1,1,8
